Date,Time,Venue,Team 1,Team 2
2014/01/20,14:15:00,Little Park,Essendon Eagles|1|3|4|Win,Southbank Sharks|2|0|2|Loss
,,,Joe Allen|0|1|0|0,Daniel Sturridge|1|0|1|0
,,,David Hardy|2|0|1|0,Jake Price|0|0|1|1
,,,Jude Murray|0|2|0|0,Owen Goodwin|1|2|0|0
,,,Isaac Hall|1|1|0|0,Dylan Gray|0|0|1|0
,,,Nathan Knowles|1|0|0|1,Zachary Noble|0|0|2|0
2014/01/24,16:00:00,Big Stadium,Carlton Kangaroos|1|1|2|Win,Essendon Eagles|0|1|1|Loss
,,,Steven Gerrard|0|0|0|0,Joe Allen|1|0|3|0
,,,Gabrielle Gonzalez|1|0|1|0,David Hardy|0|0|1|1
,,,Harrison Hancock|0|2|0|0,Ellis Nicholls|0|1|0|0
,,,Reece Reeves|1|0|0|0,Corey Kirk|0|0|1|0
,,,Edward Colier|0|0|0|1,Isaac Hall|0|0|2|0
2014/03/14,16:00:00,Little Park,Southbank Sharks|2|0|2|Loss,Essendon Eagles|1|2|3|Win
,,,Daniel Sturridge|1|0|1|0,Joe Allen|1|1|0|0
,,,Jake Price|1|0|0|0,David Hardy|0|0|1|0
,,,Owen Goodwin|0|1|0|0,Jude Murray|1|0|1|0
,,,Dylan Gray|0|1|1|0,Corey Kirk|1|1|0|0
,,,Henry Chadwick|0|0|0|1,Spencer Duncan|0|0|0|1
2015/12/10,13:00:00,Little Park,Essendon Eagles,Carlton Kangaroos
2016/05/05,12:00:00,Big Stadium,Southbank Sharks,Carlton Kangaroos
,,,,
,,,,
,,,,
